"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","verb_id","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","error"
"2153",4573,"Experiment Group",NA,13,"","","long",0.85,"服务员想知道售票员害怕演说家为什么欺骗了建筑工人。",11,113112,39,"害怕","adj",NA,NA
"2154",4573,"Experiment Group",NA,28,"","","short",0.85,"丞相想知道谁假装将军威胁了大臣。",10,228101,40,"假装","arg",NA,NA
"2157",4573,"Experiment Group",NA,30,"","","short",0.77,"舞蹈老师想知道实习生为什么觉得歌手赞美了剧作家。",2,130021,43,"觉得","adj",NA,NA
"2159",4573,"Experiment Group",NA,3,"","","long",0.81,"经理想知道厨师认为服务员接待了谁。",13,203132,45,"认为","arg",NA,NA
"2161",4573,"Experiment Group",NA,4,"","","long",0.73,"教授想知道工程师猜秘书为什么批评了运动员。",9,104092,47,"猜","adj",NA,NA
"2162",4573,"Experiment Group",NA,1,"","","long",0.73,"老师想知道学生猜修理工打了谁。",9,201092,48,"猜","arg",NA,NA
"2164",4573,"Experiment Group",NA,21,"","","short",0.66,"省长想知道谁认为小报记者采访了税务员。",13,221131,50,"认为","arg",NA,NA
"2168",4573,"Experiment Group",NA,5,"","","short",0.82,"市长想知道议员为什么猜艺术家联系了毒枭。",9,105091,54,"猜","adj",NA,NA
"2170",4573,"Experiment Group",NA,17,"","","short",0.63,"会计想知道演员为什么怕编辑邀请了神父。",6,117061,56,"怕","adj",NA,NA
"2172",4573,"Experiment Group",NA,29,"","","short",0.69,"编辑想知道谁喜欢杂技演员抚养了小女孩。",7,229071,58,"喜欢","arg",NA,NA
"2175",4573,"Experiment Group",NA,27,"","","long",0.37,"法医想知道业务员认为罪犯为什么谋害了程序员。",13,127132,61,"认为","adj",NA,NA
"2176",4573,"Experiment Group",NA,8,"","","long",0.31,"侦探想知道售货员害怕飞行员羞辱了谁。",11,208112,62,"害怕","arg",NA,NA
"2247",4612,"Experiment Group",NA,9,"","","long",0.02,"将军想知道间谍说明士兵跟踪了谁。",4,209042,1,"说明","arg",NA,NA
"2249",4612,"Experiment Group",NA,20,"","","long",0.01,"售货员想知道作曲家记得摄影师为什么指责了心理医生。",8,120082,3,"记得","adj",NA,NA
"2251",4612,"Experiment Group",NA,16,"","","long",0.03,"大学生想知道记者感觉音乐老师夸赞了谁。",12,216122,5,"感觉","arg",NA,NA
"2253",4612,"Experiment Group",NA,22,"","","short",0,"顾问想知道外交官为什么想生物学家嘲讽了哲学家。",5,122051,7,"想","adj",NA,NA
"2255",4612,"Experiment Group",NA,24,"","","short",0.03,"仓库管理员想知道谁想保险代理人挖苦了模特。",5,224051,9,"想","arg",NA,NA
"2256",4612,"Experiment Group",NA,21,"","","long",0.04,"省长想知道药剂师猜小报记者为什么采访了税务员。",9,121092,10,"猜","adj",NA,NA
"2260",4612,"Experiment Group",NA,31,"","","short",0.01,"心理学家想知道大学生为什么说明保姆讨好了理发师。",4,131041,14,"说明","adj",NA,NA
"2262",4612,"Experiment Group",NA,5,"","","long",0.01,"市长想知道议员感觉艺术家为什么联系了毒枭。",12,105122,16,"感觉","adj",NA,NA
"2267",4612,"Experiment Group",NA,17,"","","short",0.04,"会计想知道演员为什么感觉编辑邀请了神父。",12,117121,21,"感觉","adj",NA,NA
"2269",4612,"Experiment Group",NA,15,"","","long",0.03,"主持人想知道学者说政府官员为什么批评了总统候选人。",1,115012,23,"说","adj",NA,NA
"2270",4612,"Experiment Group",NA,29,"","","short",0,"编辑想知道谁记得杂技演员抚养了小女孩。",8,229081,24,"记得","arg",NA,NA
"2272",4612,"Experiment Group",NA,14,"","","long",0.05,"英语老师想知道工程师写下来中学生为什么举报了店员。",14,114142,26,"写","adj",NA,NA
"2273",4612,"Experiment Group",NA,10,"","","long",0.01,"导游想知道外国人喜欢保安袭击了谁。",7,210072,27,"喜欢","arg",NA,NA
"2275",4612,"Experiment Group",NA,18,"","","long",0.04,"船长想知道建筑师喜欢飞行员为什么责备了经济学家。",7,118072,29,"喜欢","adj",NA,NA
"2276",4612,"Experiment Group",NA,23,"","","short",0.03,"园丁想知道水管工为什么喜欢焊工训斥了清洁工。",7,123071,30,"喜欢","adj",NA,NA
"2279",4612,"Experiment Group",NA,1,"","","short",0.98,"老师想知道学生为什么记得修理工打了快递员。",8,101081,33,"记得","adj",NA,NA
"2280",4612,"Experiment Group",NA,26,"","","short",0.03,"制片人想知道谁感觉化妆师监视了调酒师。",12,226121,34,"感觉","arg",NA,NA
"2283",4612,"Experiment Group",NA,27,"","","long",0.02,"法医想知道业务员说明罪犯为什么谋害了程序员。",4,127042,37,"说明","adj",NA,NA
"2285",4612,"Experiment Group",NA,8,"","","short",0.03,"侦探想知道谁写下来飞行员羞辱了卡车司机。",14,208141,39,"写","arg",NA,NA
"2286",4612,"Experiment Group",NA,19,"","","long",0.02,"经理想知道道士想和尚夸奖了谁。",5,219052,40,"想","arg",NA,NA
"2289",4612,"Experiment Group",NA,3,"","","short",0.03,"经理想知道谁猜服务员接待了乞丐。",9,203091,43,"猜","arg",NA,NA
"2292",4612,"Experiment Group",NA,28,"","","long",0.02,"丞相想知道皇上记得将军威胁了谁。",8,228082,46,"记得","arg",NA,NA
"2295",4612,"Experiment Group",NA,30,"","","short",0.02,"舞蹈老师想知道谁喜欢歌手赞美了剧作家。",7,230071,49,"喜欢","arg",NA,NA
"2296",4612,"Experiment Group",NA,11,"","","short",0.97,"政客想知道医生为什么猜护士推倒了男孩。",9,111091,50,"猜","adj",NA,NA
"2298",4612,"Experiment Group",NA,7,"","","short",0.99,"村长想知道谁说电工无视了领导。",1,207011,52,"说","arg",NA,NA
"2299",4612,"Experiment Group",NA,6,"","","short",0.04,"检察官想知道教练员为什么写下来音乐家开除了保镖。",14,106141,53,"写","adj",NA,NA
"2302",4612,"Experiment Group",NA,12,"","","short",0.98,"包工头想知道和尚为什么说播音员打伤了算命先生。",1,112011,56,"说","adj",NA,NA
"2303",4612,"Experiment Group",NA,25,"","","long",0.04,"美容师想知道房东猜营养师吓唬了谁。",9,225092,57,"猜","arg",NA,NA
"2305",4612,"Experiment Group",NA,13,"","","short",0.05,"服务员想知道谁说明演说家欺骗了建筑工人。",4,213041,59,"说明","arg",NA,NA
"2307",4612,"Experiment Group",NA,32,"","","long",0.03,"助手想知道军官写下来老师出卖了谁。",14,232142,61,"写","arg",NA,NA
"2308",4612,"Experiment Group",NA,2,"","","long",0.03,"法官想知道律师说警察审问了谁。",1,202012,62,"说","arg",NA,NA
"2310",4612,"Experiment Group",NA,4,"","","long",0.03,"教授想知道工程师想秘书为什么批评了运动员。",5,104052,64,"想","adj",NA,NA
"2379",4486,"Experiment Group",NA,1,"","","long",0.96,"老师想知道学生说明修理工为什么打了快递员。",4,101042,1,"说明","adj",NA,NA
"2380",4486,"Experiment Group",NA,17,"","","short",0.6,"会计想知道演员为什么怕编辑邀请了神父。",6,117061,2,"怕","adj",NA,NA
"2382",4486,"Experiment Group",NA,11,"","","short",0.99,"政客想知道谁希望护士推倒了男孩。",3,211031,4,"希望","arg",NA,NA
"2385",4486,"Experiment Group",NA,13,"","","long",0.04,"服务员想知道售票员怕演说家为什么欺骗了建筑工人。",6,113062,7,"怕","adj",NA,NA
"2386",4486,"Experiment Group",NA,31,"","","short",0.99,"心理学家想知道大学生为什么希望保姆讨好了理发师。",3,131031,8,"希望","adj",NA,NA
"2388",4486,"Experiment Group",NA,26,"","","long",0,"制片人想知道健身教练希望化妆师为什么监视了调酒师。",3,126032,10,"希望","adj",NA,NA
"2390",4486,"Experiment Group",NA,24,"","","short",0.97,"仓库管理员想知道采购员为什么感觉保险代理人挖苦了模特。",12,124121,12,"感觉","adj",NA,NA
"2392",4486,"Experiment Group",NA,22,"","","long",0.03,"顾问想知道外交官说生物学家为什么嘲讽了哲学家。",1,122012,14,"说","adj",NA,NA
"2393",4486,"Experiment Group",NA,18,"","","short",0,"船长想知道建筑师为什么说明飞行员责备了经济学家。",4,118041,15,"说明","adj",NA,NA
"2396",4486,"Experiment Group",NA,7,"","","long",0.05,"村长想知道农民猜电工无视了谁。",9,207092,18,"猜","arg",NA,NA
"2397",4486,"Experiment Group",NA,6,"","","long",0,"检察官想知道教练员害怕音乐家开除了谁。",11,206112,19,"害怕","arg",NA,NA
"2399",4486,"Experiment Group",NA,32,"","","short",0.03,"助手想知道谁怕老师出卖了水手。",6,232061,21,"怕","arg",NA,NA
"2400",4486,"Experiment Group",NA,4,"","","long",0.99,"教授想知道工程师希望秘书批评了谁。",3,204032,22,"希望","arg",NA,NA
"2402",4486,"Experiment Group",NA,15,"","","long",0.98,"主持人想知道学者说政府官员批评了谁。",1,215012,24,"说","arg",NA,NA
"2407",4486,"Experiment Group",NA,19,"","","short",0.98,"经理想知道谁害怕和尚夸奖了乞丐。",11,219111,29,"害怕","arg",NA,NA
"2408",4486,"Experiment Group",NA,12,"","","short",0.98,"包工头想知道谁记得播音员打伤了算命先生。",8,212081,30,"记得","arg",NA,NA
"2410",4486,"Experiment Group",NA,5,"","","short",0.01,"市长想知道谁感觉艺术家联系了毒枭。",12,205121,32,"感觉","arg",NA,NA
"2411",4486,"Experiment Group",NA,9,"","","long",0.02,"将军想知道间谍感觉士兵跟踪了谁。",12,209122,33,"感觉","arg",NA,NA
"2414",4486,"Experiment Group",NA,16,"","","short",0.98,"大学生想知道记者为什么记得音乐老师夸赞了歌手。",8,116081,36,"记得","adj",NA,NA
"2421",4486,"Experiment Group",NA,14,"","","long",0.03,"英语老师想知道工程师记得中学生为什么举报了店员。",8,114082,43,"记得","adj",NA,NA
"2423",4486,"Experiment Group",NA,27,"","","long",0.98,"法医想知道业务员害怕罪犯为什么谋害了程序员。",11,127112,45,"害怕","adj",NA,NA
"2424",4486,"Experiment Group",NA,29,"","","short",0.99,"编辑想知道法务顾问为什么害怕杂技演员抚养了小女孩。",11,129111,46,"害怕","adj",NA,NA
"2426",4486,"Experiment Group",NA,21,"","","short",0.98,"省长想知道谁说明小报记者采访了税务员。",4,221041,48,"说明","arg",NA,NA
"2427",4486,"Experiment Group",NA,8,"","","long",0.03,"侦探想知道售货员记得飞行员羞辱了谁。",8,208082,49,"记得","arg",NA,NA
"2429",4486,"Experiment Group",NA,23,"","","short",0.98,"园丁想知道谁猜焊工训斥了清洁工。",9,223091,51,"猜","arg",NA,NA
"2431",4486,"Experiment Group",NA,3,"","","long",0.98,"经理想知道厨师说明服务员接待了谁。",4,203042,53,"说明","arg",NA,NA
"2432",4486,"Experiment Group",NA,10,"","","short",0.99,"导游想知道外国人为什么猜保安袭击了商贩。",9,110091,54,"猜","adj",NA,NA
"2434",4486,"Experiment Group",NA,28,"","","long",0.98,"丞相想知道皇上怕将军威胁了谁。",6,228062,56,"怕","arg",NA,NA
"2435",4486,"Experiment Group",NA,30,"","","short",0.99,"舞蹈老师想知道实习生为什么说歌手赞美了剧作家。",1,130011,57,"说","adj",NA,NA
"2438",4486,"Experiment Group",NA,2,"","","long",0.96,"法官想知道律师感觉警察为什么审问了学生。",12,102122,60,"感觉","adj",NA,NA
"2439",4486,"Experiment Group",NA,25,"","","short",0.99,"美容师想知道谁说营养师吓唬了快餐店员。",1,225011,61,"说","arg",NA,NA
"2441",4486,"Experiment Group",NA,20,"","","long",0.98,"售货员想知道作曲家猜摄影师为什么指责了心理医生。",9,120092,63,"猜","adj",NA,NA
"2512",4553,"Experiment Group",NA,9,"","","short",0.67,"将军想知道谁说明士兵跟踪了总统。",4,209041,2,"说明","arg",NA,NA
"2513",4553,"Experiment Group",NA,10,"","","short",0.99,"导游想知道谁希望保安袭击了商贩。",3,210031,3,"希望","arg",NA,NA
"2515",4553,"Experiment Group",NA,21,"","","long",0.73,"省长想知道药剂师猜小报记者采访了谁。",9,221092,5,"猜","arg",NA,NA
"2516",4553,"Experiment Group",NA,28,"","","short",0.98,"丞相想知道皇上为什么感觉将军威胁了大臣。",12,128121,6,"感觉","adj",NA,NA
"2518",4553,"Experiment Group",NA,19,"","","long",0.89,"经理想知道道士猜和尚为什么夸奖了乞丐。",9,119092,8,"猜","adj",NA,NA
"2521",4553,"Experiment Group",NA,15,"","","short",0.38,"主持人想知道谁喜欢政府官员批评了总统候选人。",7,215071,11,"喜欢","arg",NA,NA
"2522",4553,"Experiment Group",NA,8,"","","long",0.38,"侦探想知道售货员想飞行员为什么羞辱了卡车司机。",5,108052,12,"想","adj",NA,NA
"2525",4553,"Experiment Group",NA,31,"","","short",0.85,"心理学家想知道大学生为什么怕保姆讨好了理发师。",6,131061,15,"怕","adj",NA,NA
"2526",4553,"Experiment Group",NA,2,"","","short",0.97,"法官想知道谁感觉警察审问了学生。",12,202121,16,"感觉","arg",NA,NA
"2528",4553,"Experiment Group",NA,23,"","","long",0.12,"园丁想知道水管工感觉焊工训斥了谁。",12,223122,18,"感觉","arg",NA,NA
"2529",4553,"Experiment Group",NA,25,"","","long",0.91,"美容师想知道房东希望营养师吓唬了谁。",3,225032,19,"希望","arg",NA,NA
"2531",4553,"Experiment Group",NA,30,"","","long",0.04,"舞蹈老师想知道实习生怕歌手为什么赞美了剧作家。",6,130062,21,"怕","adj",NA,NA
"2533",4553,"Experiment Group",NA,16,"","","short",0.24,"大学生想知道谁想音乐老师夸赞了歌手。",5,216051,23,"想","arg",NA,NA
"2534",4553,"Experiment Group",NA,5,"","","long",0.27,"市长想知道议员怕艺术家联系了谁。",6,205062,24,"怕","arg",NA,NA
"2540",4553,"Experiment Group",NA,26,"","","short",0.22,"制片人想知道健身教练为什么说明化妆师监视了调酒师。",4,126041,30,"说明","adj",NA,NA
"2541",4553,"Experiment Group",NA,24,"","","long",0.48,"仓库管理员想知道采购员认为保险代理人为什么挖苦了模特。",13,124132,31,"认为","adj",NA,NA
"2543",4553,"Experiment Group",NA,29,"","","long",0.85,"编辑想知道法务顾问想杂技演员抚养了谁。",5,229052,33,"想","arg",NA,NA
"2544",4553,"Experiment Group",NA,4,"","","short",0.81,"教授想知道谁怕秘书批评了运动员。",6,204061,34,"怕","arg",NA,NA
"2546",4553,"Experiment Group",NA,1,"","","long",0.63,"老师想知道学生喜欢修理工打了谁。",7,201072,36,"喜欢","arg",NA,NA
"2547",4553,"Experiment Group",NA,7,"","","long",0.88,"村长想知道农民感觉电工为什么无视了领导。",12,107122,37,"感觉","adj",NA,NA
"2549",4553,"Experiment Group",NA,14,"","","short",0.72,"英语老师想知道工程师为什么希望中学生举报了店员。",3,114031,39,"希望","adj",NA,NA
"2551",4553,"Experiment Group",NA,32,"","","short",0.78,"助手想知道谁猜老师出卖了水手。",9,232091,41,"猜","arg",NA,NA
"2553",4553,"Experiment Group",NA,20,"","","long",0.68,"售货员想知道作曲家认为摄影师指责了谁。",13,220132,43,"认为","arg",NA,NA
"2554",4553,"Experiment Group",NA,18,"","","short",0.78,"船长想知道谁认为飞行员责备了经济学家。",13,218131,44,"认为","arg",NA,NA
"2556",4553,"Experiment Group",NA,6,"","","short",0.8,"检察官想知道教练员为什么认为音乐家开除了保镖。",13,106131,46,"认为","adj",NA,NA
"2561",4553,"Experiment Group",NA,22,"","","long",0.75,"顾问想知道外交官希望生物学家为什么嘲讽了哲学家。",3,122032,51,"希望","adj",NA,NA
"2563",4553,"Experiment Group",NA,27,"","","short",0.3,"法医想知道业务员为什么想罪犯谋害了程序员。",5,127051,53,"想","adj",NA,NA
"2565",4553,"Experiment Group",NA,11,"","","short",0.48,"政客想知道医生为什么喜欢护士推倒了男孩。",7,111071,55,"喜欢","adj",NA,NA
"2566",4553,"Experiment Group",NA,13,"","","long",0.36,"服务员想知道售票员喜欢演说家为什么欺骗了建筑工人。",7,113072,56,"喜欢","adj",NA,NA
"2568",4553,"Experiment Group",NA,12,"","","long",0.5,"包工头想知道和尚说明播音员打伤了谁。",4,212042,58,"说明","arg",NA,NA
"2573",4553,"Experiment Group",NA,17,"","","long",0.28,"会计想知道演员说明编辑为什么邀请了神父。",4,117042,63,"说明","adj",NA,NA
"2574",4553,"Experiment Group",NA,3,"","","short",0.33,"经理想知道厨师为什么猜服务员接待了乞丐。",9,103091,64,"猜","adj",NA,NA
"2577",4533,"Experiment Group",NA,30,"","","short",0.02,"舞蹈老师想知道谁害怕歌手赞美了剧作家。",11,230111,1,"害怕","arg",NA,NA
"2579",4533,"Experiment Group",NA,19,"","","short",0.07,"经理想知道谁认为和尚夸奖了乞丐。",13,219131,3,"认为","arg",NA,NA
"2582",4533,"Experiment Group",NA,21,"","","short",0,"省长想知道谁想小报记者采访了税务员。",5,221051,6,"想","arg",NA,NA
"2583",4533,"Experiment Group",NA,10,"","","short",0.01,"导游想知道谁怕保安袭击了商贩。",6,210061,7,"怕","arg",NA,NA
"2586",4533,"Experiment Group",NA,2,"","","long",0.06,"法官想知道律师认为警察为什么审问了学生。",13,102132,10,"认为","adj",NA,NA
"2588",4533,"Experiment Group",NA,4,"","","short",0.84,"教授想知道工程师为什么害怕秘书批评了运动员。",11,104111,12,"害怕","adj",NA,NA
"2589",4533,"Experiment Group",NA,22,"","","long",0.02,"顾问想知道外交官想生物学家为什么嘲讽了哲学家。",5,122052,13,"想","adj",NA,NA
"2591",4533,"Experiment Group",NA,8,"","","long",0.03,"侦探想知道售货员怕飞行员羞辱了谁。",6,208062,15,"怕","arg",NA,NA
"2594",4533,"Experiment Group",NA,26,"","","short",0.03,"制片人想知道谁记得化妆师监视了调酒师。",8,226081,18,"记得","arg",NA,NA
"2596",4533,"Experiment Group",NA,18,"","","long",0.05,"船长想知道建筑师感觉飞行员责备了谁。",12,218122,20,"感觉","arg",NA,NA
"2598",4533,"Experiment Group",NA,12,"","","long",0.02,"包工头想知道和尚说明播音员为什么打伤了算命先生。",4,112042,22,"说明","adj",NA,NA
"2603",4533,"Experiment Group",NA,7,"","","long",0.01,"村长想知道农民认为电工无视了谁。",13,207132,27,"认为","arg",NA,NA
"2604",4533,"Experiment Group",NA,24,"","","short",0.01,"仓库管理员想知道谁感觉保险代理人挖苦了模特。",12,224121,28,"感觉","arg",NA,NA
"2606",4533,"Experiment Group",NA,3,"","","long",0.02,"经理想知道厨师猜服务员为什么接待了乞丐。",9,103092,30,"猜","adj",NA,NA
"2607",4533,"Experiment Group",NA,1,"","","long",0,"老师想知道学生害怕修理工为什么打了快递员。",11,101112,31,"害怕","adj",NA,NA
"2609",4533,"Experiment Group",NA,20,"","","long",0.03,"售货员想知道作曲家想摄影师指责了谁。",5,220052,33,"想","arg",NA,NA
"2610",4533,"Experiment Group",NA,28,"","","long",0.01,"丞相想知道皇上记得将军为什么威胁了大臣。",8,128082,34,"记得","adj",NA,NA
"2613",4533,"Experiment Group",NA,27,"","","short",0.02,"法医想知道业务员为什么说明罪犯谋害了程序员。",4,127041,37,"说明","adj",NA,NA
"2614",4533,"Experiment Group",NA,9,"","","long",0.02,"将军想知道间谍怕士兵为什么跟踪了总统。",6,109062,38,"怕","adj",NA,NA
"2616",4533,"Experiment Group",NA,5,"","","long",0.04,"市长想知道议员感觉艺术家为什么联系了毒枭。",12,105122,40,"感觉","adj",NA,NA
"2618",4533,"Experiment Group",NA,23,"","","long",0.01,"园丁想知道水管工猜焊工训斥了谁。",9,223092,42,"猜","arg",NA,NA
"2620",4533,"Experiment Group",NA,14,"","","short",0.01,"英语老师想知道谁说明中学生举报了店员。",4,214041,44,"说明","arg",NA,NA
"2622",4533,"Experiment Group",NA,6,"","","short",0,"检察官想知道教练员为什么猜音乐家开除了保镖。",9,106091,46,"猜","adj",NA,NA
"2623",4533,"Experiment Group",NA,13,"","","short",0.01,"服务员想知道售票员为什么感觉演说家欺骗了建筑工人。",12,113121,47,"感觉","adj",NA,NA
"2626",4533,"Experiment Group",NA,25,"","","short",0.03,"美容师想知道房东为什么记得营养师吓唬了快餐店员。",8,125081,50,"记得","adj",NA,NA
"2627",4533,"Experiment Group",NA,11,"","","long",0.02,"政客想知道医生记得护士推倒了谁。",8,211082,51,"记得","arg",NA,NA
"2631",4533,"Experiment Group",NA,16,"","","short",0.02,"大学生想知道记者为什么想音乐老师夸赞了歌手。",5,116051,55,"想","adj",NA,NA
"2632",4533,"Experiment Group",NA,15,"","","long",0.03,"主持人想知道学者说明政府官员批评了谁。",4,215042,56,"说明","arg",NA,NA
"2634",4533,"Experiment Group",NA,17,"","","short",0.98,"会计想知道演员为什么认为编辑邀请了神父。",13,117131,58,"认为","adj",NA,NA
"2635",4533,"Experiment Group",NA,32,"","","long",0.02,"助手想知道军官害怕老师出卖了谁。",11,232112,59,"害怕","arg",NA,NA
"2639",4533,"Experiment Group",NA,29,"","","short",0.06,"编辑想知道谁猜杂技演员抚养了小女孩。",9,229091,63,"猜","arg",NA,NA
"2640",4533,"Experiment Group",NA,31,"","","short",0,"心理学家想知道大学生为什么怕保姆讨好了理发师。",6,131061,64,"怕","adj",NA,NA
"2709",4475,"Experiment Group",NA,10,"","","long",0.08,"导游想知道外国人想保安袭击了谁。",5,210052,1,"想","arg",NA,NA
"2710",4475,"Experiment Group",NA,19,"","","long",0.16,"经理想知道道士说明和尚夸奖了谁。",4,219042,2,"说明","arg",NA,NA
"2713",4475,"Experiment Group",NA,21,"","","short",0.17,"省长想知道谁猜小报记者采访了税务员。",9,221091,5,"猜","arg",NA,NA
"2715",4475,"Experiment Group",NA,28,"","","short",0.12,"丞相想知道皇上为什么写下来将军威胁了大臣。",14,128141,7,"写","adj",NA,NA
"2718",4475,"Experiment Group",NA,16,"","","long",0.16,"大学生想知道记者猜音乐老师夸赞了谁。",9,216092,10,"猜","arg",NA,NA
"2720",4475,"Experiment Group",NA,4,"","","short",0.01,"教授想知道工程师为什么喜欢秘书批评了运动员。",7,104071,12,"喜欢","adj",NA,NA
"2721",4475,"Experiment Group",NA,5,"","","long",0.02,"市长想知道议员说艺术家为什么联系了毒枭。",1,105012,13,"说","adj",NA,NA
"2723",4475,"Experiment Group",NA,27,"","","long",0.4,"法医想知道业务员想罪犯为什么谋害了程序员。",5,127052,15,"想","adj",NA,NA
"2724",4475,"Experiment Group",NA,9,"","","short",0.17,"将军想知道谁喜欢士兵跟踪了总统。",7,209071,16,"喜欢","arg",NA,NA
"2726",4475,"Experiment Group",NA,12,"","","short",0.05,"包工头想知道和尚为什么想播音员打伤了算命先生。",5,112051,18,"想","adj",NA,NA
"2729",4475,"Experiment Group",NA,2,"","","long",0.12,"法官想知道律师喜欢警察审问了谁。",7,202072,21,"喜欢","arg",NA,NA
"2731",4475,"Experiment Group",NA,26,"","","short",0.14,"制片人想知道谁说明化妆师监视了调酒师。",4,226041,23,"说明","arg",NA,NA
"2733",4475,"Experiment Group",NA,22,"","","long",0.04,"顾问想知道外交官说明生物学家为什么嘲讽了哲学家。",4,122042,25,"说明","adj",NA,NA
"2734",4475,"Experiment Group",NA,31,"","","short",0.81,"心理学家想知道大学生为什么觉得保姆讨好了理发师。",2,131021,26,"觉得","adj",NA,NA
"2737",4475,"Experiment Group",NA,14,"","","long",0.56,"英语老师想知道工程师写下来中学生为什么举报了店员。",14,114142,29,"写","adj",NA,NA
"2739",4475,"Experiment Group",NA,11,"","","short",0.87,"政客想知道谁说护士推倒了男孩。",1,211011,31,"说","arg",NA,NA
"2740",4475,"Experiment Group",NA,29,"","","long",0.41,"编辑想知道法务顾问记得杂技演员为什么抚养了小女孩。",8,129082,32,"记得","adj",NA,NA
"2742",4475,"Experiment Group",NA,30,"","","long",0.18,"舞蹈老师想知道实习生记得歌手赞美了谁。",8,230082,34,"记得","arg",NA,NA
"2743",4475,"Experiment Group",NA,3,"","","long",0.06,"经理想知道厨师喜欢服务员为什么接待了乞丐。",7,103072,35,"喜欢","adj",NA,NA
"2748",4475,"Experiment Group",NA,1,"","","short",0.73,"老师想知道学生为什么猜修理工打了快递员。",9,101091,40,"猜","adj",NA,NA
"2749",4475,"Experiment Group",NA,6,"","","long",0.31,"检察官想知道教练员说音乐家开除了谁。",1,206012,41,"说","arg",NA,NA
"2751",4475,"Experiment Group",NA,20,"","","short",0.64,"售货员想知道作曲家为什么说明摄影师指责了心理医生。",4,120041,43,"说明","adj",NA,NA
"2754",4475,"Experiment Group",NA,8,"","","short",0.65,"侦探想知道谁觉得飞行员羞辱了卡车司机。",2,208021,46,"觉得","arg",NA,NA
"2755",4475,"Experiment Group",NA,23,"","","long",0.36,"园丁想知道水管工觉得焊工为什么训斥了清洁工。",2,123022,47,"觉得","adj",NA,NA
"2757",4475,"Experiment Group",NA,25,"","","short",0.88,"美容师想知道谁记得营养师吓唬了快餐店员。",8,225081,49,"记得","arg",NA,NA
"2759",4475,"Experiment Group",NA,17,"","","short",0.42,"会计想知道谁写下来编辑邀请了神父。",14,217141,51,"写","arg",NA,NA
"2763",4475,"Experiment Group",NA,7,"","","long",0.5,"村长想知道农民觉得电工无视了谁。",2,207022,55,"觉得","arg",NA,NA
"2764",4475,"Experiment Group",NA,13,"","","long",0.02,"服务员想知道售票员猜演说家为什么欺骗了建筑工人。",9,113092,56,"猜","adj",NA,NA
"2767",4475,"Experiment Group",NA,24,"","","long",0.42,"仓库管理员想知道采购员写下来保险代理人挖苦了谁。",14,224142,59,"写","arg",NA,NA
"2769",4475,"Experiment Group",NA,15,"","","short",0.38,"主持人想知道谁想政府官员批评了总统候选人。",5,215051,61,"想","arg",NA,NA
"2771",4475,"Experiment Group",NA,18,"","","short",0.82,"船长想知道建筑师为什么说飞行员责备了经济学家。",1,118011,63,"说","adj",NA,NA
"2772",4475,"Experiment Group",NA,32,"","","short",0.8,"助手想知道军官为什么记得老师出卖了水手。",8,132081,64,"记得","adj",NA,NA
"2841",4634,"Experiment Group",NA,7,"","","short",0.03,"村长想知道谁说明电工无视了领导。",4,207041,1,"说明","arg",NA,NA
"2842",4634,"Experiment Group",NA,12,"","","short",0.59,"包工头想知道和尚为什么假装播音员打伤了算命先生。",10,112101,2,"假装","adj",NA,NA
"2845",4634,"Experiment Group",NA,16,"","","short",0.97,"大学生想知道记者为什么认为音乐老师夸赞了歌手。",13,116131,5,"认为","adj",NA,NA
"2846",4634,"Experiment Group",NA,28,"","","short",0.95,"丞相想知道皇上为什么记得将军威胁了大臣。",8,128081,6,"记得","adj",NA,NA
"2849",4634,"Experiment Group",NA,13,"","","long",0.03,"服务员想知道售票员说演说家为什么欺骗了建筑工人。",1,113012,9,"说","adj",NA,NA
"2853",4634,"Experiment Group",NA,19,"","","long",0.97,"经理想知道道士假装和尚夸奖了谁。",10,219102,13,"假装","arg",NA,NA
"2855",4634,"Experiment Group",NA,15,"","","long",0.96,"主持人想知道学者记得政府官员为什么批评了总统候选人。",8,115082,15,"记得","adj",NA,NA
"2857",4634,"Experiment Group",NA,23,"","","short",0.93,"园丁想知道谁怕焊工训斥了清洁工。",6,223061,17,"怕","arg",NA,NA
"2861",4634,"Experiment Group",NA,21,"","","long",0.97,"省长想知道药剂师说明小报记者采访了谁。",4,221042,21,"说明","arg",NA,NA
"2862",4634,"Experiment Group",NA,30,"","","long",0.98,"舞蹈老师想知道实习生说明歌手为什么赞美了剧作家。",4,130042,22,"说明","adj",NA,NA
"2864",4634,"Experiment Group",NA,27,"","","short",0.96,"法医想知道谁想罪犯谋害了程序员。",5,227051,24,"想","arg",NA,NA
"2865",4634,"Experiment Group",NA,20,"","","short",0.97,"售货员想知道作曲家为什么想摄影师指责了心理医生。",5,120051,25,"想","adj",NA,NA
"2867",4634,"Experiment Group",NA,26,"","","long",0.97,"制片人想知道健身教练害怕化妆师监视了谁。",11,226112,27,"害怕","arg",NA,NA
"2868",4634,"Experiment Group",NA,9,"","","short",0.94,"将军想知道谁认为士兵跟踪了总统。",13,209131,28,"认为","arg",NA,NA
"2870",4634,"Experiment Group",NA,3,"","","long",0.96,"经理想知道厨师认为服务员接待了谁。",13,203132,30,"认为","arg",NA,NA
