"","workerid","proliferate.condition","first_response_value","item","item_number","item_type","length","response","sentence","sentence_id","trial_sequence_total","verb","wh_type","wrong_attempts","verb.1"
"1789",4815,"Experiment Group",NA,18,"","","long",1,"船长想知道建筑师保证飞行员责备了谁。",218072,5,"保证","arg",NA,7
"1791",4815,"Experiment Group",NA,24,"","","long",0.67,"仓库管理员想知道采购员说保险代理人为什么挖苦了模特。",124142,7,"说","adj",NA,14
"1792",4815,"Experiment Group",NA,23,"","","long",1,"园丁想知道水管工认为焊工训斥了谁。",223122,8,"认为","arg",NA,12
"1794",4815,"Experiment Group",NA,10,"","","short",0.87,"导游想知道谁认同保安袭击了商贩。",210111,10,"认同","arg",NA,11
"1801",4815,"Experiment Group",NA,22,"","","short",0,"顾问想知道谁证实生物学家嘲讽了哲学家。",222091,17,"证实","arg",NA,9
"1802",4815,"Experiment Group",NA,12,"","","long",0,"包工头想知道和尚重申播音员打伤了谁。",212102,18,"重申","arg",NA,10
"1804",4815,"Experiment Group",NA,6,"","","short",0.97,"检察官想知道教练员为什么认为音乐家开除了保镖。",106121,20,"认为","adj",NA,12
"1808",4815,"Experiment Group",NA,31,"","","short",0.76,"心理学家想知道大学生为什么否认保姆讨好了理发师。",131031,24,"否认","adj",NA,3
"1809",4815,"Experiment Group",NA,27,"","","short",0.73,"法医想知道谁认为罪犯谋害了程序员。",227121,25,"认为","arg",NA,12
"1811",4815,"Experiment Group",NA,28,"","","long",0.64,"丞相想知道皇上认为将军为什么威胁了大臣。",128122,27,"认为","adj",NA,12
"1812",4815,"Experiment Group",NA,4,"","","short",0.77,"教授想知道谁怀疑秘书批评了运动员。",204011,28,"怀疑","arg",NA,1
"1814",4815,"Experiment Group",NA,13,"","","long",0.76,"服务员想知道售票员重申演说家为什么欺骗了建筑工人。",113102,30,"重申","adj",NA,10
"1815",4815,"Experiment Group",NA,20,"","","long",1,"售货员想知道作曲家说摄影师指责了谁。",220142,31,"说","arg",NA,14
"1818",4815,"Experiment Group",NA,7,"","","short",0.06,"村长想知道谁保证电工无视了领导。",207071,34,"保证","arg",NA,7
"1819",4815,"Experiment Group",NA,30,"","","long",0.54,"舞蹈老师想知道实习生认同歌手赞美了谁。",230112,35,"认同","arg",NA,11
"1822",4815,"Experiment Group",NA,2,"","","short",0.1,"法官想知道律师为什么重申警察审问了学生。",102101,38,"重申","adj",NA,10
"1823",4815,"Experiment Group",NA,3,"","","short",0.5,"经理想知道厨师为什么认同服务员接待了乞丐。",103111,39,"认同","adj",NA,11
"1825",4815,"Experiment Group",NA,14,"","","long",0.42,"英语老师想知道工程师认同中学生为什么举报了店员。",114112,41,"认同","adj",NA,11
"1829",4815,"Experiment Group",NA,32,"","","short",0.48,"助手想知道军官为什么保证老师出卖了水手。",132071,45,"保证","adj",NA,7
"1830",4815,"Experiment Group",NA,21,"","","long",0.78,"省长想知道药剂师否认小报记者采访了谁。",221032,46,"否认","arg",NA,3
"1832",4815,"Experiment Group",NA,17,"","","short",0.73,"会计想知道演员为什么说编辑邀请了神父。",117141,48,"说","adj",NA,14
"1834",4815,"Experiment Group",NA,9,"","","short",0.76,"将军想知道间谍为什么证实士兵跟踪了总统。",109091,50,"证实","adj",NA,9
"1837",4815,"Experiment Group",NA,5,"","","short",0.73,"市长想知道谁否认艺术家联系了毒枭。",205031,53,"否认","arg",NA,3
"1838",4815,"Experiment Group",NA,1,"","","long",0,"老师想知道学生怀疑修理工为什么打了快递员。",101012,54,"怀疑","adj",NA,1
"1840",4815,"Experiment Group",NA,15,"","","long",0.38,"主持人想知道学者否认政府官员为什么批评了总统候选人。",115032,56,"否认","adj",NA,3
"1841",4815,"Experiment Group",NA,11,"","","long",0.24,"政客想知道医生证实护士为什么推倒了男孩。",111092,57,"证实","adj",NA,9
"1843",4815,"Experiment Group",NA,16,"","","long",0.64,"大学生想知道记者怀疑音乐老师夸赞了谁。",216012,59,"怀疑","arg",NA,1
"1844",4815,"Experiment Group",NA,29,"","","short",0.16,"编辑想知道谁重申杂技演员抚养了小女孩。",229101,60,"重申","arg",NA,10
"1846",4815,"Experiment Group",NA,26,"","","long",0.34,"制片人想知道健身教练保证化妆师为什么监视了调酒师。",126072,62,"保证","adj",NA,7
"1847",4815,"Experiment Group",NA,8,"","","short",0.51,"侦探想知道售货员为什么怀疑飞行员羞辱了卡车司机。",108011,63,"怀疑","adj",NA,1
"1851",4843,"Experiment Group",NA,30,"","","short",0.35,"舞蹈老师想知道谁抱怨歌手赞美了剧作家。",230041,1,"抱怨","arg",NA,4
"1853",4843,"Experiment Group",NA,12,"","","short",0.2,"包工头想知道谁猜播音员打伤了算命先生。",212131,3,"猜","arg",NA,13
"1855",4843,"Experiment Group",NA,5,"","","short",0.73,"市长想知道议员为什么认同艺术家联系了毒枭。",105111,5,"认同","adj",NA,11
"1856",4843,"Experiment Group",NA,26,"","","long",0.48,"制片人想知道健身教练接受化妆师监视了谁。",226062,6,"接受","arg",NA,6
"1858",4843,"Experiment Group",NA,15,"","","long",0.53,"主持人想知道学者证实政府官员批评了谁。",215092,8,"证实","arg",NA,9
"1860",4843,"Experiment Group",NA,14,"","","long",0.27,"英语老师想知道工程师证实中学生为什么举报了店员。",114092,10,"证实","adj",NA,9
"1861",4843,"Experiment Group",NA,7,"","","long",0,"村长想知道农民抱怨电工为什么无视了领导。",107042,11,"抱怨","adj",NA,4
"1864",4843,"Experiment Group",NA,9,"","","long",0.9,"将军想知道间谍猜士兵为什么跟踪了总统。",109132,14,"猜","adj",NA,13
"1866",4843,"Experiment Group",NA,28,"","","short",0.58,"丞相想知道谁证实将军威胁了大臣。",228091,16,"证实","arg",NA,9
"1867",4843,"Experiment Group",NA,18,"","","short",0,"船长想知道建筑师为什么透露飞行员责备了经济学家。",118081,17,"透露","adj",NA,8
"1870",4843,"Experiment Group",NA,2,"","","long",0.38,"法官想知道律师透露警察为什么审问了学生。",102082,20,"透露","adj",NA,8
"1871",4843,"Experiment Group",NA,6,"","","short",0.32,"检察官想知道教练员为什么证实音乐家开除了保镖。",106091,21,"证实","adj",NA,9
"1874",4843,"Experiment Group",NA,20,"","","short",0.35,"售货员想知道作曲家为什么猜摄影师指责了心理医生。",120131,24,"猜","adj",NA,13
"1876",4843,"Experiment Group",NA,29,"","","short",1,"编辑想知道谁透露杂技演员抚养了小女孩。",229081,26,"透露","arg",NA,8
"1878",4843,"Experiment Group",NA,23,"","","short",0.42,"园丁想知道水管工为什么抱怨焊工训斥了清洁工。",123041,28,"抱怨","adj",NA,4
"1879",4843,"Experiment Group",NA,22,"","","long",0.89,"顾问想知道外交官说生物学家嘲讽了谁。",222142,29,"说","arg",NA,14
"1881",4843,"Experiment Group",NA,28,"","","long",0.29,"法医想知道业务员说罪犯为什么谋害了程序员。",127142,31,"说","adj",NA,14
"1884",4843,"Experiment Group",NA,16,"","","short",0.34,"大学生想知道谁重申音乐老师夸赞了歌手。",216101,34,"重申","arg",NA,10
"1888",4843,"Experiment Group",NA,10,"","","short",1,"导游想知道外国人为什么说保安袭击了商贩。",110141,38,"说","adj",NA,14
"1889",4843,"Experiment Group",NA,17,"","","long",0.62,"会计想知道演员认同编辑邀请了谁。",217112,39,"认同","arg",NA,11
"1891",4843,"Experiment Group",NA,3,"","","long",0.39,"经理想知道厨师透露服务员接待了谁。",203082,41,"透露","arg",NA,8
"1893",4843,"Experiment Group",NA,31,"","","long",0.64,"心理学家想知道大学生抱怨保姆讨好了谁。",231042,43,"抱怨","arg",NA,4
"1894",4843,"Experiment Group",NA,13,"","","short",0.78,"服务员想知道谁认同演说家欺骗了建筑工人。",213111,44,"认同","arg",NA,11
"1896",4843,"Experiment Group",NA,1,"","","long",0.35,"老师想知道学生认同修理工为什么打了快递员。",101112,46,"认同","adj",NA,11
"1898",4843,"Experiment Group",NA,24,"","","long",0.42,"仓库管理员想知道采购员重申保险代理人为什么挖苦了模特。",124102,48,"重申","adj",NA,10
"1899",4843,"Experiment Group",NA,4,"","","short",0.39,"教授想知道工程师为什么重申秘书批评了运动员。",104101,49,"重申","adj",NA,10
"1901",4843,"Experiment Group",NA,11,"","","short",0.97,"政客想知道谁说护士推倒了男孩。",211141,51,"说","arg",NA,14
"1902",4843,"Experiment Group",NA,32,"","","long",0.45,"助手想知道军官重申老师出卖了谁。",232102,52,"重申","arg",NA,10
"1909",4843,"Experiment Group",NA,19,"","","short",0.42,"经理想知道道士为什么接受和尚夸奖了乞丐。",119061,59,"接受","adj",NA,6
"1910",4843,"Experiment Group",NA,25,"","","short",0.43,"美容师想知道谁接受营养师吓唬了快餐店员。",225061,60,"接受","arg",NA,6
"1913",4843,"Experiment Group",NA,21,"","","long",0.42,"省长想知道药剂师接受小报记者为什么采访了税务员。",121062,63,"接受","adj",NA,6
"1914",4843,"Experiment Group",NA,8,"","","long",0.6,"侦探想知道售货员猜飞行员羞辱了谁。",208132,64,"猜","arg",NA,13
"1917",4775,"Experiment Group",NA,27,"","","long",0.58,"法医想知道业务员怀疑罪犯谋害了谁。",227012,1,"怀疑","arg",NA,1
"1918",4775,"Experiment Group",NA,31,"","","long",0.63,"心理学家想知道大学生猜保姆讨好了谁。",231132,2,"猜","arg",NA,13
"1920",4775,"Experiment Group",NA,1,"","","short",0.8,"老师想知道谁认为修理工打了快递员。",201121,4,"认为","arg",NA,12
"1922",4775,"Experiment Group",NA,10,"","","long",0.68,"导游想知道外国人猜保安为什么袭击了商贩。",110132,6,"猜","adj",NA,13
"1924",4775,"Experiment Group",NA,28,"","","long",0.76,"丞相想知道皇上重申将军为什么威胁了大臣。",128102,8,"重申","adj",NA,10
"1926",4775,"Experiment Group",NA,14,"","","short",0.7,"英语老师想知道谁坚称中学生举报了店员。",214021,10,"坚称","arg",NA,2
"1927",4775,"Experiment Group",NA,5,"","","long",0.72,"市长想知道议员怀疑艺术家为什么联系了毒枭。",105012,11,"怀疑","adj",NA,1
"1929",4775,"Experiment Group",NA,6,"","","long",0.78,"检察官想知道教练员坚称音乐家为什么开除了保镖。",106022,13,"坚称","adj",NA,2
"1930",4775,"Experiment Group",NA,24,"","","short",0.82,"仓库管理员想知道采购员为什么认为保险代理人挖苦了模特。",124121,14,"认为","adj",NA,12
"1935",4775,"Experiment Group",NA,17,"","","long",0.74,"会计想知道演员坚称编辑邀请了谁。",217022,19,"坚称","arg",NA,2
"1936",4775,"Experiment Group",NA,7,"","","long",0.72,"村长想知道农民否认电工为什么无视了领导。",107032,20,"否认","adj",NA,3
"1938",4775,"Experiment Group",NA,12,"","","short",0.73,"包工头想知道谁否认播音员打伤了算命先生。",212031,22,"否认","arg",NA,3
"1940",4775,"Experiment Group",NA,4,"","","long",0.75,"教授想知道工程师抱怨秘书为什么批评了运动员。",104042,24,"抱怨","adj",NA,4
"1943",4775,"Experiment Group",NA,21,"","","short",0.79,"省长想知道谁怀疑小报记者采访了税务员。",221011,27,"怀疑","arg",NA,1
"1946",4775,"Experiment Group",NA,9,"","","long",0.73,"将军想知道间谍否认士兵跟踪了谁。",209032,30,"否认","arg",NA,3
"1948",4775,"Experiment Group",NA,18,"","","long",0.75,"船长想知道建筑师接受飞行员责备了谁。",218062,32,"接受","arg",NA,6
"1950",4775,"Experiment Group",NA,25,"","","long",0.77,"美容师想知道房东重申营养师吓唬了谁。",225102,34,"重申","arg",NA,10
"1951",4775,"Experiment Group",NA,22,"","","short",0.78,"顾问想知道外交官为什么重申生物学家嘲讽了哲学家。",122101,35,"重申","adj",NA,10
"1953",4775,"Experiment Group",NA,3,"","","long",0.82,"经理想知道厨师抱怨服务员接待了谁。",203042,37,"抱怨","arg",NA,4
"1954",4775,"Experiment Group",NA,8,"","","short",0.88,"侦探想知道售货员为什么坚称飞行员羞辱了卡车司机。",108021,38,"坚称","adj",NA,2
"1957",4775,"Experiment Group",NA,2,"","","short",0.87,"法官想知道谁抱怨警察审问了学生。",202041,41,"抱怨","arg",NA,4
"1958",4775,"Experiment Group",NA,16,"","","long",0.77,"大学生想知道记者认为音乐老师为什么夸赞了歌手。",116122,42,"认为","adj",NA,12
"1960",4775,"Experiment Group",NA,13,"","","short",0.87,"服务员想知道售票员为什么怀疑演说家欺骗了建筑工人。",113011,44,"怀疑","adj",NA,1
"1962",4775,"Experiment Group",NA,11,"","","long",0.85,"政客想知道医生接受护士为什么推倒了男孩。",111062,46,"接受","adj",NA,6
"1964",4775,"Experiment Group",NA,30,"","","short",0.59,"舞蹈老师想知道实习生为什么接受歌手赞美了剧作家。",130061,48,"接受","adj",NA,6
"1965",4775,"Experiment Group",NA,26,"","","short",0.01,"制片人想知道健身教练为什么否认化妆师监视了调酒师。",126031,49,"否认","adj",NA,3
"1967",4775,"Experiment Group",NA,15,"","","short",0.8,"主持人想知道学者为什么抱怨政府官员批评了总统候选人。",115041,51,"抱怨","adj",NA,4
"1972",4775,"Experiment Group",NA,19,"","","short",0.72,"经理想知道谁猜和尚夸奖了乞丐。",219131,56,"猜","arg",NA,13
"1973",4775,"Experiment Group",NA,23,"","","short",0.77,"园丁想知道谁接受焊工训斥了清洁工。",223061,57,"接受","arg",NA,6
"1976",4775,"Experiment Group",NA,32,"","","short",0.8,"助手想知道军官为什么猜老师出卖了水手。",132131,60,"猜","adj",NA,13
"1977",4775,"Experiment Group",NA,29,"","","short",0.8,"编辑想知道谁重申杂技演员抚养了小女孩。",229101,61,"重申","arg",NA,10
"1979",4775,"Experiment Group",NA,20,"","","long",0.78,"售货员想知道作曲家认为摄影师指责了谁。",220122,63,"认为","arg",NA,12
"1987",4779,"Experiment Group",NA,26,"","","long",0.11,"制片人想知道健身教练认为化妆师为什么监视了调酒师。",126122,5,"认为","adj",NA,12
"1988",4779,"Experiment Group",NA,3,"","","long",0.05,"经理想知道厨师认同服务员为什么接待了乞丐。",103112,6,"认同","adj",NA,11
"1990",4779,"Experiment Group",NA,16,"","","long",0.29,"大学生想知道记者透露音乐老师夸赞了谁。",216082,8,"透露","arg",NA,8
"1992",4779,"Experiment Group",NA,8,"","","short",0.35,"侦探想知道售货员为什么认为飞行员羞辱了卡车司机。",108121,10,"认为","adj",NA,12
"1996",4779,"Experiment Group",NA,21,"","","short",0.23,"省长想知道谁认同小报记者采访了税务员。",221111,14,"认同","arg",NA,11
"1997",4779,"Experiment Group",NA,17,"","","short",0.08,"会计想知道谁否认编辑邀请了神父。",217031,15,"否认","arg",NA,3
"2000",4779,"Experiment Group",NA,30,"","","short",0.07,"舞蹈老师想知道谁认为歌手赞美了剧作家。",230121,18,"认为","arg",NA,12
"2001",4779,"Experiment Group",NA,28,"","","long",0.04,"法医想知道业务员说罪犯为什么谋害了程序员。",127142,19,"说","adj",NA,14
"2004",4779,"Experiment Group",NA,15,"","","long",0.18,"主持人想知道学者承认政府官员为什么批评了总统候选人。",115052,22,"承认","adj",NA,5
"2005",4779,"Experiment Group",NA,10,"","","short",0.07,"导游想知道外国人为什么说保安袭击了商贩。",110141,23,"说","adj",NA,14
"2007",4779,"Experiment Group",NA,7,"","","short",0,"村长想知道谁透露电工无视了领导。",207081,25,"透露","arg",NA,8
"2008",4779,"Experiment Group",NA,23,"","","short",0.05,"园丁想知道水管工为什么重申焊工训斥了清洁工。",123101,26,"重申","adj",NA,10
"2010",4779,"Experiment Group",NA,1,"","","long",0.06,"老师想知道学生否认修理工为什么打了快递员。",101032,28,"否认","adj",NA,3
"2012",4779,"Experiment Group",NA,25,"","","short",0.09,"美容师想知道房东为什么坚称营养师吓唬了快餐店员。",125021,30,"坚称","adj",NA,2
"2013",4779,"Experiment Group",NA,29,"","","short",0.14,"编辑想知道法务顾问为什么承认杂技演员抚养了小女孩。",129051,31,"承认","adj",NA,5
"2016",4779,"Experiment Group",NA,11,"","","long",0.31,"政客想知道医生说护士推倒了谁。",211142,34,"说","arg",NA,14
"2017",4779,"Experiment Group",NA,24,"","","long",0.23,"仓库管理员想知道采购员认为保险代理人挖苦了谁。",224122,35,"认为","arg",NA,12
"2019",4779,"Experiment Group",NA,31,"","","short",0.03,"心理学家想知道谁坚称保姆讨好了理发师。",231021,37,"坚称","arg",NA,2
"2020",4779,"Experiment Group",NA,2,"","","long",0.2,"法官想知道律师重申警察为什么审问了学生。",102102,38,"重申","adj",NA,10
"2022",4779,"Experiment Group",NA,22,"","","short",0.22,"顾问想知道谁重申生物学家嘲讽了哲学家。",222101,40,"重申","arg",NA,10
"2024",4779,"Experiment Group",NA,14,"","","long",0.15,"英语老师想知道工程师坚称中学生举报了谁。",214022,42,"坚称","arg",NA,2
"2025",4779,"Experiment Group",NA,12,"","","long",0.15,"包工头想知道和尚认同播音员打伤了谁。",212112,43,"认同","arg",NA,11
"2027",4779,"Experiment Group",NA,13,"","","short",0.3,"服务员想知道谁说演说家欺骗了建筑工人。",213141,45,"说","arg",NA,14
"2028",4779,"Experiment Group",NA,28,"","","long",0.23,"丞相想知道皇上透露将军为什么威胁了大臣。",128082,46,"透露","adj",NA,8
"2031",4779,"Experiment Group",NA,19,"","","long",0.26,"经理想知道道士重申和尚夸奖了谁。",219102,49,"重申","arg",NA,10
"2033",4779,"Experiment Group",NA,20,"","","long",0.15,"售货员想知道作曲家承认摄影师指责了谁。",220052,51,"承认","arg",NA,5
"2034",4779,"Experiment Group",NA,18,"","","short",0.11,"船长想知道建筑师为什么认同飞行员责备了经济学家。",118111,52,"认同","adj",NA,11
"2038",4779,"Experiment Group",NA,32,"","","long",0.31,"助手想知道军官否认老师出卖了谁。",232032,56,"否认","arg",NA,3
"2039",4779,"Experiment Group",NA,6,"","","short",0.28,"检察官想知道教练员为什么透露音乐家开除了保镖。",106081,57,"透露","adj",NA,8
"2042",4779,"Experiment Group",NA,9,"","","short",0.29,"将军想知道谁承认士兵跟踪了总统。",209051,60,"承认","arg",NA,5
"2043",4779,"Experiment Group",NA,4,"","","long",0.29,"教授想知道工程师坚称秘书为什么批评了运动员。",104022,61,"坚称","adj",NA,2
"2046",4779,"Experiment Group",NA,5,"","","short",0.33,"市长想知道议员为什么否认艺术家联系了毒枭。",105031,64,"否认","adj",NA,3
"2049",4840,"Experiment Group",NA,20,"","","short",0,"售货员想知道谁透露摄影师指责了心理医生。",220081,1,"透露","arg",NA,8
"2051",4840,"Experiment Group",NA,12,"","","long",0.3,"包工头想知道和尚接受播音员打伤了谁。",212062,3,"接受","arg",NA,6
"2053",4840,"Experiment Group",NA,21,"","","short",0.95,"省长想知道药剂师为什么坚称小报记者采访了税务员。",121021,5,"坚称","adj",NA,2
"2055",4840,"Experiment Group",NA,28,"","","short",0.35,"丞相想知道谁承认将军威胁了大臣。",228051,7,"承认","arg",NA,5
"2057",4840,"Experiment Group",NA,31,"","","long",0.51,"心理学家想知道大学生坚称保姆讨好了谁。",231022,9,"坚称","arg",NA,2
"2060",4840,"Experiment Group",NA,1,"","","long",0,"老师想知道学生承认修理工为什么打了快递员。",101052,12,"承认","adj",NA,5
"2064",4840,"Experiment Group",NA,25,"","","short",0.67,"美容师想知道房东为什么认为营养师吓唬了快餐店员。",125121,16,"认为","adj",NA,12
"2066",4840,"Experiment Group",NA,3,"","","long",0.58,"经理想知道厨师透露服务员接待了谁。",203082,18,"透露","arg",NA,8
"2067",4840,"Experiment Group",NA,30,"","","short",0.67,"舞蹈老师想知道实习生为什么承认歌手赞美了剧作家。",130051,19,"承认","adj",NA,5
"2069",4840,"Experiment Group",NA,24,"","","long",0.48,"仓库管理员想知道采购员抱怨保险代理人挖苦了谁。",224042,21,"抱怨","arg",NA,4
"2071",4840,"Experiment Group",NA,29,"","","short",0.48,"编辑想知道法务顾问为什么抱怨杂技演员抚养了小女孩。",129041,23,"抱怨","adj",NA,4
"2072",4840,"Experiment Group",NA,22,"","","short",0.56,"顾问想知道外交官为什么说生物学家嘲讽了哲学家。",122141,24,"说","adj",NA,14
"2076",4840,"Experiment Group",NA,2,"","","short",0.76,"法官想知道律师为什么透露警察审问了学生。",102081,28,"透露","adj",NA,8
"2077",4840,"Experiment Group",NA,10,"","","short",0,"导游想知道外国人为什么重申保安袭击了商贩。",110101,29,"重申","adj",NA,10
"2079",4840,"Experiment Group",NA,27,"","","long",0.85,"法医想知道业务员承认罪犯谋害了谁。",227052,31,"承认","arg",NA,5
"2081",4840,"Experiment Group",NA,26,"","","long",0,"制片人想知道健身教练认为化妆师为什么监视了调酒师。",126122,33,"认为","adj",NA,12
"2082",4840,"Experiment Group",NA,16,"","","short",0,"大学生想知道谁重申音乐老师夸赞了歌手。",216101,34,"重申","arg",NA,10
"2084",4840,"Experiment Group",NA,5,"","","short",1,"市长想知道谁说艺术家联系了毒枭。",205141,36,"说","arg",NA,14
"2086",4840,"Experiment Group",NA,14,"","","long",0.68,"英语老师想知道工程师认为中学生举报了谁。",214122,38,"认为","arg",NA,12
"2087",4840,"Experiment Group",NA,13,"","","long",0,"服务员想知道售票员接受演说家为什么欺骗了建筑工人。",113062,39,"接受","adj",NA,6
"2089",4840,"Experiment Group",NA,32,"","","long",0.74,"助手想知道军官说老师出卖了谁。",232142,41,"说","arg",NA,14
"2091",4840,"Experiment Group",NA,18,"","","long",0,"船长想知道建筑师重申飞行员为什么责备了经济学家。",118102,43,"重申","adj",NA,10
"2093",4840,"Experiment Group",NA,8,"","","long",0,"侦探想知道售货员透露飞行员为什么羞辱了卡车司机。",108082,45,"透露","adj",NA,8
"2094",4840,"Experiment Group",NA,11,"","","short",0,"政客想知道医生为什么接受护士推倒了男孩。",111061,46,"接受","adj",NA,6
"2097",4840,"Experiment Group",NA,15,"","","short",1,"主持人想知道谁认为政府官员批评了总统候选人。",215121,49,"认为","arg",NA,12
"2099",4840,"Experiment Group",NA,19,"","","long",0.03,"经理想知道道士重申和尚夸奖了谁。",219102,51,"重申","arg",NA,10
"2100",4840,"Experiment Group",NA,4,"","","long",0,"教授想知道工程师说秘书为什么批评了运动员。",104142,52,"说","adj",NA,14
"2102",4840,"Experiment Group",NA,9,"","","short",1,"将军想知道谁坚称士兵跟踪了总统。",209021,54,"坚称","arg",NA,2
"2103",4840,"Experiment Group",NA,6,"","","long",0,"检察官想知道教练员抱怨音乐家为什么开除了保镖。",106042,55,"抱怨","adj",NA,4
"2105",4840,"Experiment Group",NA,17,"","","short",0,"会计想知道谁接受编辑邀请了神父。",217061,57,"接受","arg",NA,6
"2106",4840,"Experiment Group",NA,7,"","","short",0,"村长想知道谁抱怨电工无视了领导。",207041,58,"抱怨","arg",NA,4
"2108",4840,"Experiment Group",NA,23,"","","long",0,"园丁想知道水管工坚称焊工为什么训斥了清洁工。",123022,60,"坚称","adj",NA,2
"2115",4811,"Experiment Group",NA,16,"","","long",0.11,"大学生想知道记者重申音乐老师为什么夸赞了歌手。",116102,1,"重申","adj",NA,10
"2116",4811,"Experiment Group",NA,31,"","","long",0.21,"心理学家想知道大学生抱怨保姆为什么讨好了理发师。",131042,2,"抱怨","adj",NA,4
"2118",4811,"Experiment Group",NA,11,"","","long",0.09,"政客想知道医生保证护士推倒了谁。",211072,4,"保证","arg",NA,7
"2120",4811,"Experiment Group",NA,20,"","","long",0.09,"售货员想知道作曲家坚称摄影师指责了谁。",220022,6,"坚称","arg",NA,2
"2121",4811,"Experiment Group",NA,6,"","","short",0.83,"检察官想知道谁抱怨音乐家开除了保镖。",206041,7,"抱怨","arg",NA,4
"2123",4811,"Experiment Group",NA,7,"","","long",0.1,"村长想知道农民猜电工无视了谁。",207132,9,"猜","arg",NA,13
"2127",4811,"Experiment Group",NA,28,"","","short",0.74,"丞相想知道谁说将军威胁了大臣。",228141,13,"说","arg",NA,14
"2128",4811,"Experiment Group",NA,10,"","","long",0.21,"导游想知道外国人说保安为什么袭击了商贩。",110142,14,"说","adj",NA,14
"2130",4811,"Experiment Group",NA,19,"","","long",0.17,"经理想知道道士猜和尚为什么夸奖了乞丐。",119132,16,"猜","adj",NA,13
"2131",4811,"Experiment Group",NA,3,"","","short",0.82,"经理想知道厨师为什么坚称服务员接待了乞丐。",103021,17,"坚称","adj",NA,2
"2133",4811,"Experiment Group",NA,21,"","","short",0.32,"省长想知道药剂师为什么抱怨小报记者采访了税务员。",121041,19,"抱怨","adj",NA,4
"2134",4811,"Experiment Group",NA,12,"","","short",0.26,"包工头想知道和尚为什么认同播音员打伤了算命先生。",112111,20,"认同","adj",NA,11
"2138",4811,"Experiment Group",NA,5,"","","short",0.2,"市长想知道谁猜艺术家联系了毒枭。",205131,24,"猜","arg",NA,13
"2140",4811,"Experiment Group",NA,25,"","","long",0.12,"美容师想知道房东否认营养师为什么吓唬了快餐店员。",125032,26,"否认","adj",NA,3
"2142",4811,"Experiment Group",NA,14,"","","short",0.21,"英语老师想知道工程师为什么说中学生举报了店员。",114141,28,"说","adj",NA,14
"2144",4811,"Experiment Group",NA,15,"","","long",0.28,"主持人想知道学者否认政府官员批评了谁。",215032,30,"否认","arg",NA,3
"2146",4811,"Experiment Group",NA,9,"","","short",0.8,"将军想知道间谍为什么否认士兵跟踪了总统。",109031,32,"否认","adj",NA,3
"2148",4811,"Experiment Group",NA,27,"","","long",0.71,"法医想知道业务员认同罪犯谋害了谁。",227112,34,"认同","arg",NA,11
"2149",4811,"Experiment Group",NA,30,"","","short",0,"舞蹈老师想知道谁否认歌手赞美了剧作家。",230031,35,"否认","arg",NA,3
"2152",4811,"Experiment Group",NA,2,"","","long",0.75,"法官想知道律师抱怨警察审问了谁。",202042,38,"抱怨","arg",NA,4
"2154",4811,"Experiment Group",NA,22,"","","short",0.18,"顾问想知道谁认同生物学家嘲讽了哲学家。",222111,40,"认同","arg",NA,11
"2156",4811,"Experiment Group",NA,8,"","","long",0.25,"侦探想知道售货员重申飞行员羞辱了谁。",208102,42,"重申","arg",NA,10
"2158",4811,"Experiment Group",NA,18,"","","long",0.22,"船长想知道建筑师认同飞行员为什么责备了经济学家。",118112,44,"认同","adj",NA,11
"2159",4811,"Experiment Group",NA,4,"","","short",0.63,"教授想知道工程师为什么重申秘书批评了运动员。",104101,45,"重申","adj",NA,10
"2163",4811,"Experiment Group",NA,13,"","","short",0.28,"服务员想知道谁保证演说家欺骗了建筑工人。",213071,49,"保证","arg",NA,7
"2165",4811,"Experiment Group",NA,17,"","","short",0.23,"会计想知道演员为什么猜编辑邀请了神父。",117131,51,"猜","adj",NA,13
"2167",4811,"Experiment Group",NA,23,"","","short",0.22,"园丁想知道谁重申焊工训斥了清洁工。",223101,53,"重申","arg",NA,10
"2170",4811,"Experiment Group",NA,26,"","","short",0.86,"制片人想知道谁坚称化妆师监视了调酒师。",226021,56,"坚称","arg",NA,2
"2172",4811,"Experiment Group",NA,1,"","","long",0.17,"老师想知道学生保证修理工为什么打了快递员。",101072,58,"保证","adj",NA,7
"2174",4811,"Experiment Group",NA,32,"","","long",0.27,"助手想知道军官说老师出卖了谁。",232142,60,"说","arg",NA,14
"2177",4811,"Experiment Group",NA,29,"","","short",0.14,"编辑想知道法务顾问为什么保证杂技演员抚养了小女孩。",129071,63,"保证","adj",NA,7
"2178",4811,"Experiment Group",NA,24,"","","long",0.22,"仓库管理员想知道采购员坚称保险代理人为什么挖苦了模特。",124022,64,"坚称","adj",NA,2
"2181",4826,"Experiment Group",NA,6,"","","long",0.21,"检察官想知道教练员透露音乐家为什么开除了保镖。",106082,1,"透露","adj",NA,8
"2182",4826,"Experiment Group",NA,13,"","","long",0.38,"服务员想知道售票员猜演说家欺骗了谁。",213132,2,"猜","arg",NA,13
"2186",4826,"Experiment Group",NA,22,"","","short",0.68,"顾问想知道外交官为什么猜生物学家嘲讽了哲学家。",122131,6,"猜","adj",NA,13
"2187",4826,"Experiment Group",NA,25,"","","long",0.37,"美容师想知道房东透露营养师吓唬了谁。",225082,7,"透露","arg",NA,8
"2189",4826,"Experiment Group",NA,9,"","","long",0.19,"将军想知道间谍抱怨士兵为什么跟踪了总统。",109042,9,"抱怨","adj",NA,4
